"Producto: Frutas y Hortalizas"
"Fecha: 06-02-2020"
Producto;"Precio dominante (en euros)";"Precio Máximo (en euros)";"Precio Mínimo (en euros)"
ACEITUNAS;3,80;5,00;3,00
ACELGAS;0,65;0,80;0,50
AGUACATE;3,20;5,00;1,00
"AJOS SECOS";2,30;2,80;1,80
"AJOS TIERNOS";0,80;1,10;0,60
"ALBARICOQUES ";2,50;3,00;2,00
ALCACHOFA;1,80;2,50;1,30
ALMENDRAS;3,80;5,00;2,90
APIOS;0,70;0,90;0,40
AVELLANAS;3,40;5,50;2,00
"BATATA ";0,60;1,00;0,50
"BATATA MONIATO";0,60;1,00;0,50
"BERENJENA LARGA";1,00;1,50;0,70
"BERENJENA REDONDA";;;
BERROS;1,50;1,70;1,10
BORRAJA;0,90;1,15;0,60
"BRÉCOL ";0,80;1,30;0,60
BRÓCULI;0,60;0,90;0,50
"CALABACÍN ";0,95;1,30;0,70
"CALABAZA ";0,60;0,80;0,40
CALÇOTS;0,10;0,15;0,08
"CAQUIS ";1,25;1,60;0,70
CARACOLES;6,00;7,00;4,00
CARAMBOLA;5,00;6,00;4,00
CARDOS;0,60;1,20;0,50
CASTAÑAS;6,00;7,00;5,00
"CAÑA DE AZÚCAR";1,00;2,05;0,40
"CEBOLLA SECA";0,28;0,37;0,25
"CEBOLLA SECA FIGUERAS";0,65;0,80;0,50
"CEBOLLA TIERNA";0,75;0,90;0,55
"CEREZAS ";8,00;13,00;6,00
CHAMPIÑONES;1,65;2,40;0,65
CHIRIMOIA;1,80;2,50;1,30
CHIRIVÍA;0,95;1,40;0,80
"CIRUELA ";2,60;2,90;2,00
COCOS;0,95;1,40;0,55
"COL BRUSELAS";0,95;1,20;0,80
"COLES ";0,60;0,90;0,50
"COLES CHINA";1,10;1,30;0,60
"COLES LOMBARDA";0,50;0,80;0,35
COLIFLOR;0,90;1,10;0,50
DÁTILES;3,20;12,00;1,40
ENDÍBIAS;0,90;1,00;0,60
ESCAROLA;1,00;1,20;0,70
ESPINACAS;0,85;1,00;0,50
"ESPÁRRAGO BLANCO";4,50;9,00;2,00
"ESPÁRRAGO VERDE";1,40;2,00;1,00
FEIJOA;4,00;6,00;3,00
FRAMBUESA;6,00;8,00;5,00
FRESA;8,00;15,00;6,00
FRESÓN;3,20;4,00;2,00
"FRUTAS SIN DETERMINAR";0,90;;
GRANADAS;1,50;1,90;1,20
GROSELLA;11,00;14,00;9,00
GUISANTE;3,75;5,00;3,00
GÍRGOLAS;2,80;3,50;2,00
HABAS;1,20;2,00;1,00
"HIGO CHUMBO";1,60;2,20;1,00
"HIGOS ";2,90;1,80;2,20
HINOJO;0,90;1,00;0,50
"JUDÍA BOBI";2,80;4,00;2,00
"JUDÍA FINA";2,80;4,50;1,50
"JUDÍA PERONA";3,20;4,00;2,00
"JUDÍAS SIN DETERMINAR";1,60;3,00;1,30
"KIWIS ";1,60;2,90;1,00
"LECHUGA ICEBERG";0,65;0,90;0,50
"LECHUGA LARGA";0,70;0,80;0,40
"LECHUGA SIN DETERMINAR";0,65;0,90;0,45
LICHIS;3,00;5,00;2,00
LIMA;1,80;3,50;1,30
LIMÓN;0,80;1,20;0,40
"MANDARINA CLEMENTINA";0,90;2,00;0,50
"MANDARINA SATSUMA ";0,90;1,50;0,50
"MANDARINAS SIN DETER.";0,95;1,70;0,60
MANGOS;3,30;5,50;1,00
"MANZANA AMARILLA GOLDEN";0,65;1,00;0,40
"MANZANA BICOLOR ";0,70;1,40;0,40
"MANZANA ROJA";0,75;2,00;0,50
"MANZANA VERDE GRANNY SMITH";0,70;1,50;0,45
"MANZANAS SIN DETERMINAR";1,40;2,05;1,00
MARACUYÁ;4,40;6,50;3,00
MAÍZ;1,10;2,00;0,75
"MELOCOTONES ROJOS P.AMARILLA";1,35;2,00;1,00
"MELOCOTÓN AMARILLO";1,80;2,20;1,00
"MELOCOTÓN ROJO P.BLANCA";1,40;2,00;1,00
"MELÓN AMARILLO";0,90;1,40;0,50
"MELÓN GALIA";1,20;1,60;0,80
"MELÓN SIN DETERMINAR";0,60;1,00;0,35
"MELÓN VERDE PIEL DE SAPO";1,10;1,50;0,60
MEMBRILLO;1,00;1,20;0,60
MENESTRA;0,95;1,40;0,70
MORA;7,50;17,00;6,50
NABO;0,80;1,00;0,50
"NARANJA ";0,85;1,30;0,40
NASHIS;0,80;1,60;0,60
"NECTARINA PULPA AMARILLA";2,00;2,50;1,00
"NECTARINA PULPA BLANCA";2,00;2,50;1,00
NUECES;3,50;4,00;3,00
NÍSCALOS;10,00;15,00;7,00
NÍSPERO;3,50;4,00;3,00
PAPAYAS;2,70;4,00;1,50
"PATATA BLANCA CALIDAD MONA LISA";0,46;0,60;0,36
"PATATA ROJA";0,35;0,40;0,33
"PATATA TEMPRANA";;;
"PEPINO ";0,90;1,30;0,70
"PERA BLANQUILLA";0,85;1,10;0,40
"PERA DE INVIERNO ";1,05;1,20;0,60
"PERA DE VERANO ";1,25;1,80;0,75
"PERA TEMPRANA ";2,50;3,00;2,00
PEREJIL;0,40;0,80;0,35
"PIMIENTO LAMUYO";1,10;1,50;0,70
"PIMIENTO ROJO";1,05;1,50;1,00
"PIMIENTO VERDE ITALIANO";1,20;1,50;1,00
PITAHAYA;6,00;8,00;4,00
"PIÑA TROPICAL";2,00;2,40;1,50
"PLÁTANOS CANARIOS";1,00;1,30;0,75
"PLÁTANOS IMPORTACIÓN";1,00;1,20;0,90
POMELO;0,75;1,50;0,50
PUERROS;1,15;0,90;0,40
RAMBUTÁN;5,00;8,00;4,00
REMOLACHA;0,70;0,90;0,40
"RÁBANOS ";0,50;0,65;0,25
"SANDÍA CON GRANA";0,75;1,00;0,50
"SANDÍA SIN GRANA";0,90;1,30;0,50
"SETAS SIN DETERMINAR";10,00;20,00;6,00
"TOMATE MADURO ";0,80;1,40;0,55
"TOMATE VERDE ";1,00;1,30;0,80
"UVA BLANCA ";1,90;4,00;1,30
"UVA NEGRA";2,40;2,90;1,30
VARIOS;1,50;2,50;1,00
"VERDURAS OTRAS";0,70;;
"ZANAHORIA ";0,48;0,80;0,35
